Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
53,14,2023-02-04,31-176,MIL,,MIA,W (+8),0,20:28,9,14,.643,1,4,.250,5,5,1.000,2,5,7,4,1,0,4,1,24,20.1,+3
54,15,2023-02-06,31-178,MIL,@,POR,W (+19),0,21:32,5,11,.455,1,3,.333,2,2,1.000,0,3,3,5,1,0,2,2,13,9.9,+12
55,16,2023-02-09,31-181,MIL,@,LAL,W (+9),0,24:38,10,18,.556,1,6,.167,1,1,1.000,0,5,5,3,0,1,1,2,22,15.9,+4
56,,2023-02-10,31-182,MIL,@,LAC,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,17,2023-02-14,31-186,MIL,,BOS,W (+6),0,24:52,7,16,.438,1,4,.250,1,1,1.000,4,7,11,4,0,0,1,3,16,13.1,+19
58,,2023-02-16,31-188,MIL,@,CHI,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,18,2023-02-24,31-196,MIL,,MIA,W (+29),0,17:21,4,8,.500,2,4,.500,2,2,1.000,1,3,4,5,1,0,2,2,12,11.3,+17
60,19,2023-02-26,31-198,MIL,,PHO,W (+3),0,25:29,4,13,.308,0,3,.000,3,4,.750,3,7,10,6,0,0,4,3,11,6.3,+7
61,20,2023-02-28,31-200,MIL,@,BRK,W (+14),0,22:36,7,13,.538,3,7,.429,1,2,.500,0,4,4,6,2,0,3,1,18,15.3,+15
62,,2023-03-01,31-201,MIL,,ORL,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
63,21,2023-03-04,31-204,MIL,,PHI,L (-3),0,27:22,2,8,.250,0,2,.000,2,2,1.000,1,2,3,2,1,0,1,5,6,1.9,-2
64,,2023-03-05,31-205,MIL,@,WAS,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
65,22,2023-03-07,31-207,MIL,@,ORL,W (+11),1,30:34,5,9,.556,1,3,.333,13,14,.929,0,4,4,11,1,0,3,0,24,26.2,-1
66,23,2023-03-09,31-209,MIL,,BRK,W (+5),1,29:23,5,19,.263,1,4,.250,0,0,,4,3,7,7,0,0,2,2,11,5.5,+2
67,24,2023-03-11,31-211,MIL,@,GSW,L (-9),1,33:48,7,14,.500,3,4,.750,2,4,.500,2,1,3,5,4,0,4,5,19,14.4,-5
68,25,2023-03-13,31-213,MIL,@,SAC,W (+9),1,33:48,9,15,.600,5,8,.625,8,8,1.000,0,3,3,9,0,0,0,2,31,30.5,+5
69,,2023-03-14,31-214,MIL,@,PHO,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
70,26,2023-03-16,31-216,MIL,,IND,L (-16),1,32:36,6,15,.400,0,5,.000,4,4,1.000,0,1,1,7,0,1,1,2,16,12.0,0
71,27,2023-03-19,31-219,MIL,,TOR,W (+7),1,32:07,7,13,.538,5,8,.625,1,2,.500,2,6,8,5,0,1,4,3,20,15.5,+2
72,28,2023-03-22,31-222,MIL,,SAS,W (+36),1,28:54,8,15,.533,1,6,.167,2,2,1.000,0,3,3,10,1,0,6,1,19,14.2,+26
73,,2023-03-24,31-224,MIL,@,UTA,W (+28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,29,2023-03-25,31-225,MIL,@,DEN,L (-23),1,28:52,6,14,.429,1,5,.200,0,0,,0,8,8,5,2,0,2,0,13,11.5,-6
75,30,2023-03-27,31-227,MIL,@,DET,W (+9),1,33:23,13,23,.565,1,7,.143,7,8,.875,3,5,8,5,0,0,2,2,34,27.0,+11
76,,2023-03-29,31-229,MIL,@,IND,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
77,31,2023-03-30,31-230,MIL,,BOS,L (-41),1,19:55,5,13,.385,1,4,.250,2,2,1.000,2,3,5,4,0,0,1,2,13,9.2,-25
78,32,2023-04-02,31-233,MIL,,PHI,W (+13),1,31:52,6,14,.429,3,8,.375,4,4,1.000,0,3,3,9,0,0,1,2,19,17.0,+7
79,,2023-04-04,31-235,MIL,@,WAS,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,33,2023-04-05,31-236,MIL,,CHI,W (+13),1,8:24,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-2.8,+9
81,,2023-04-07,31-238,MIL,,MEM,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
82,,2023-04-09,31-240,MIL,@,TOR,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
